facilities,rating,location,Price,review,total reviews,have bar,have restaurant,have swimming pool,have gym,have internet
"restaurant, bar",9.6,Hallerson,8000,['ExcellentFrom'],1,1,1,0,0,0
bar,,Machlessvile,6000,,,1,0,0,0,0
"restaurant, internet",7.5,Wanderland,10500,"['Very', 'GoodFrom']",4,0,1,0,0,1
"restaurant, bar, swimming pool, internet",7.8,Stokol,49500,"['Very', 'GoodFrom']",28,1,1,1,0,1
"restaurant, bar, swimming pool, gym, internet",7.2,Machlessvile,17000,"['Very', 'GoodFrom']",16,1,1,1,1,1
"restaurant, bar",7.8,Andeman,7560,"['Very', 'GoodFrom']",10,1,1,0,0,0
"restaurant, bar, internet",6.9,Ubisville,6000,"['Very', 'GoodFrom']",12,1,1,0,0,1
"restaurant, bar",,Hallerson,8000,,,1,1,0,0,0
"bar, internet",6.6,Andeman,11000,"['Very', 'GoodFrom']",14,1,0,0,0,1
,,Andeman,17000,,,2,2,2,2,2
"restaurant, bar, swimming pool, gym, internet",8.7,Machlessvile,12500,['ExcellentFrom'],7,1,1,1,1,1
"restaurant, bar, swimming pool, gym, internet",5.2,Stokol,26875,['GoodFrom'],3,1,1,1,1,1
"restaurant, bar",,Andeman,4000,,,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",7.0,Wanderland,27500,"['Very', 'GoodFrom']",32,1,1,1,1,1
"restaurant, bar, swimming pool, gym",6.1,Hallerson,8000,"['Very', 'GoodFrom']",8,1,1,1,1,0
"restaurant, bar, swimming pool, gym, internet",7.7,Ubisville,23000,"['Very', 'GoodFrom']",46,1,1,1,1,1
"restaurant, swimming pool, internet",5.9,Andeman,6500,['GoodFrom'],3,0,1,1,0,1
"bar, swimming pool, gym, internet",8.2,Willsmian,32000,['ExcellentFrom'],13,1,0,1,1,1
"restaurant, bar, internet",8.6,Hallerson,9000,['ExcellentFrom'],2,1,1,0,0,1
"restaurant, bar, swimming pool, gym",7.9,Andeman,24000,"['Very', 'GoodFrom']",5,1,1,1,1,0
"restaurant, internet",7.1,Hallerson,9500,"['Very', 'GoodFrom']",2,0,1,0,0,1
,9.2,Machlessvile,7800,['ExcellentFrom'],1,2,2,2,2,2
"restaurant, bar",7.7,Machlessvile,20000,"['Very', 'GoodFrom']",40,1,1,0,0,0
"restaurant, bar",9.2,Willsmian,13350,['ExcellentFrom'],2,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.4,Uberlandia,43000,['ExcellentFrom'],226,1,1,1,1,1
"restaurant, bar, swimming pool, gym, internet",6.7,Wanderland,55537,"['Very', 'GoodFrom']",32,1,1,1,1,1
"restaurant, bar, swimming pool, gym, internet",7.7,Machlessvile,23000,"['Very', 'GoodFrom']",46,1,1,1,1,1
bar,4.3,Wanderland,2250,['GoodFrom'],3,1,0,0,0,0
"restaurant, bar, swimming pool, gym",10.0,Uberlandia,36000,['ExcellentFrom'],1,1,1,1,1,0
bar,,Machlessvile,25000,,,1,0,0,0,0
,,Andeman,4025,,,2,2,2,2,2
,,Wanderland,4500,,,2,2,2,2,2
"restaurant, bar",7.6,Hallerson,10000,"['Very', 'GoodFrom']",2,1,1,0,0,0
"restaurant, bar",8.0,Machlessvile,7000,['ExcellentFrom'],1,1,1,0,0,0
"restaurant, bar",4.9,Willsmian,9000,['GoodFrom'],3,1,1,0,0,0
"restaurant, bar, swimming pool",,Wanderland,12000,,,1,1,1,0,0
"bar, internet",6.6,Wanderland,11000,"['Very', 'GoodFrom']",14,1,0,0,0,1
"restaurant, bar, internet",4.4,Hallerson,6700,['GoodFrom'],1,1,1,0,0,1
"restaurant, bar, swimming pool, gym",8.7,Uberlandia,33000,['ExcellentFrom'],5,1,1,1,1,0
"restaurant, bar",7.3,Hallerson,13500,"['Very', 'GoodFrom']",32,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.4,Hallerson,43000,['ExcellentFrom'],226,1,1,1,1,1
"restaurant, bar, swimming pool, internet",7.5,Uberlandia,16500,"['Very', 'GoodFrom']",40,1,1,1,0,1
,,Andeman,1800,,,2,2,2,2,2
"restaurant, bar",8.1,Hallerson,82400,['ExcellentFrom'],6,1,1,0,0,0
"restaurant, bar, swimming pool",6.8,Wanderland,11150,"['Very', 'GoodFrom']",1,1,1,1,0,0
"restaurant, bar, swimming pool, gym, internet",6.9,Hallerson,17000,"['Very', 'GoodFrom']",23,1,1,1,1,1
internet,7.7,Hallerson,20000,"['Very', 'GoodFrom']",18,0,0,0,0,1
"restaurant, bar, swimming pool, gym, internet",7.3,Stokol,28000,"['Very', 'GoodFrom']",23,1,1,1,1,1
"restaurant, bar",9.4,Stokol,20000,['ExcellentFrom'],3,1,1,0,0,0
"restaurant, bar",5.5,Stokol,10000,['GoodFrom'],3,1,1,0,0,0
"restaurant, bar",,Uberlandia,4000,,,1,1,0,0,0
"restaurant, bar",,Wanderland,4000,,,1,1,0,0,0
"restaurant, bar",6.0,Willsmian,8000,"['Very', 'GoodFrom']",3,1,1,0,0,0
"restaurant, bar",8.1,Willsmian,82400,['ExcellentFrom'],6,1,1,0,0,0
"restaurant, bar, swimming pool, internet",10.0,Willsmian,25000,['ExcellentFrom'],2,1,1,1,0,1
bar,7.9,Hallerson,25000,"['Very', 'GoodFrom']",12,1,0,0,0,0
"restaurant, bar, gym, internet",7.4,Andeman,40000,"['Very', 'GoodFrom']",28,1,1,0,1,1
"restaurant, bar, swimming pool, internet",7.4,Machlessvile,17000,"['Very', 'GoodFrom']",145,1,1,1,0,1
"restaurant, bar, swimming pool, gym, internet",5.0,Uberlandia,35000,['GoodFrom'],10,1,1,1,1,1
"restaurant, bar, swimming pool, gym",,Stokol,7125,,,1,1,1,1,0
,,Wanderland,3040,,,2,2,2,2,2
bar,7.9,Willsmian,15000,"['Very', 'GoodFrom']",3,1,0,0,0,0
"restaurant, bar",6.0,Uberlandia,7900,"['Very', 'GoodFrom']",1,1,1,0,0,0
"restaurant, bar",7.3,Uberlandia,7000,"['Very', 'GoodFrom']",13,1,1,0,0,0
"restaurant, swimming pool, internet",7.3,Hallerson,20000,"['Very', 'GoodFrom']",25,0,1,1,0,1
"restaurant, bar",7.8,Machlessvile,11000,"['Very', 'GoodFrom']",2,1,1,0,0,0
"restaurant, bar",7.8,Ubisville,10000,"['Very', 'GoodFrom']",4,1,1,0,0,0
"restaurant, bar",8.8,Uberlandia,12500,['ExcellentFrom'],6,1,1,0,0,0
"restaurant, bar, internet",8.1,Ubisville,8000,['ExcellentFrom'],3,1,1,0,0,1
"restaurant, bar",4.0,Ubisville,2500,['GoodFrom'],8,1,1,0,0,0
bar,,Wanderland,5000,,,1,0,0,0,0
"restaurant, bar",7.6,Stokol,10000,"['Very', 'GoodFrom']",2,1,1,0,0,0
bar,5.8,Willsmian,25000,['GoodFrom'],2,1,0,0,0,0
"restaurant, internet",,Hallerson,50000,,,0,1,0,0,1
"restaurant, bar, internet",,Stokol,10000,,,1,1,0,0,1
"restaurant, bar",8.0,Hallerson,15000,['ExcellentFrom'],2,1,1,0,0,0
"restaurant, bar, swimming pool, internet",,Uberlandia,19550,,,1,1,1,0,1
"restaurant, bar, swimming pool, gym",5.7,Stokol,30000,['GoodFrom'],37,1,1,1,1,0
"restaurant, bar, swimming pool, gym",8.6,Machlessvile,23000,['ExcellentFrom'],6,1,1,1,1,0
bar,,Hallerson,3500,,,1,0,0,0,0
"restaurant, swimming pool",6.4,Stokol,18000,"['Very', 'GoodFrom']",4,0,1,1,0,0
"restaurant, bar, swimming pool",8.0,Wanderland,25000,['ExcellentFrom'],9,1,1,1,0,0
"restaurant, bar, swimming pool",7.9,Uberlandia,9000,"['Very', 'GoodFrom']",6,1,1,1,0,0
restaurant,,Wanderland,2000,,,0,1,0,0,0
"restaurant, bar",7.4,Willsmian,15000,"['Very', 'GoodFrom']",4,1,1,0,0,0
,,Hallerson,4200,,,2,2,2,2,2
,,Hallerson,5000,,,2,2,2,2,2
"restaurant, bar, swimming pool, internet",7.5,Andeman,67000,"['Very', 'GoodFrom']",35,1,1,1,0,1
"bar, swimming pool, internet",7.0,Willsmian,45000,"['Very', 'GoodFrom']",6,1,0,1,0,1
"restaurant, bar, swimming pool, gym",3.7,Andeman,45000,['FairFrom'],2,1,1,1,1,0
"restaurant, swimming pool",8.0,Andeman,23000,['ExcellentFrom'],34,0,1,1,0,0
"restaurant, bar, internet",8.1,Hallerson,30500,['ExcellentFrom'],4,1,1,0,0,1
"restaurant, bar, swimming pool, gym",7.0,Andeman,32000,"['Very', 'GoodFrom']",6,1,1,1,1,0
"restaurant, bar, gym",5.7,Stokol,7350,['GoodFrom'],6,1,1,0,1,0
"restaurant, bar",,Stokol,4000,,,1,1,0,0,0
"bar, internet",6.6,Willsmian,11000,"['Very', 'GoodFrom']",14,1,0,0,0,1
"restaurant, bar",6.4,Uberlandia,6000,"['Very', 'GoodFrom']",5,1,1,0,0,0
"bar, swimming pool, gym, internet",6.4,Andeman,14000,"['Very', 'GoodFrom']",40,1,0,1,1,1
"restaurant, swimming pool, gym",6.2,Andeman,17999,"['Very', 'GoodFrom']",30,0,1,1,1,0
"restaurant, bar, gym",7.1,Ubisville,6600,"['Very', 'GoodFrom']",8,1,1,0,1,0
"restaurant, bar, gym",6.9,Hallerson,17200,"['Very', 'GoodFrom']",6,1,1,0,1,0
restaurant,,Uberlandia,14000,,,0,1,0,0,0
"restaurant, bar, swimming pool",7.1,Hallerson,12500,"['Very', 'GoodFrom']",7,1,1,1,0,0
"restaurant, gym",5.6,Hallerson,15500,['GoodFrom'],1,0,1,0,1,0
"restaurant, bar",6.3,Willsmian,7000,"['Very', 'GoodFrom']",17,1,1,0,0,0
"restaurant, bar",8.2,Wanderland,3000,['ExcellentFrom'],5,1,1,0,0,0
"bar, internet",6.7,Ubisville,12000,"['Very', 'GoodFrom']",27,1,0,0,0,1
"restaurant, bar, swimming pool, internet",7.8,Wanderland,25000,"['Very', 'GoodFrom']",5,1,1,1,0,1
internet,5.4,Wanderland,4000,['GoodFrom'],13,0,0,0,0,1
"bar, swimming pool, internet",8.8,Willsmian,25000,['ExcellentFrom'],36,1,0,1,0,1
"restaurant, bar, internet",10.0,Hallerson,30000,['ExcellentFrom'],1,1,1,0,0,1
"bar, swimming pool, internet",7.0,Machlessvile,45000,"['Very', 'GoodFrom']",6,1,0,1,0,1
bar,,Andeman,6000,,,1,0,0,0,0
"restaurant, swimming pool, internet",9.1,Willsmian,37200,['ExcellentFrom'],12,0,1,1,0,1
restaurant,,Wanderland,2300,,,0,1,0,0,0
"restaurant, bar",7.2,Andeman,3000,"['Very', 'GoodFrom']",2,1,1,0,0,0
"restaurant, bar, gym, internet",6.5,Uberlandia,15000,"['Very', 'GoodFrom']",32,1,1,0,1,1
,8.8,Stokol,20000,['ExcellentFrom'],1,2,2,2,2,2
"restaurant, swimming pool, internet",5.0,Uberlandia,15000,['GoodFrom'],2,0,1,1,0,1
restaurant,,Stokol,7000,,,0,1,0,0,0
"restaurant, bar, internet",7.1,Wanderland,7500,"['Very', 'GoodFrom']",4,1,1,0,0,1
"restaurant, bar, internet",7.0,Andeman,14000,"['Very', 'GoodFrom']",7,1,1,0,0,1
"restaurant, bar, swimming pool, gym",7.2,Machlessvile,19000,"['Very', 'GoodFrom']",38,1,1,1,1,0
"restaurant, bar",10.0,Andeman,13225,['ExcellentFrom'],1,1,1,0,0,0
"restaurant, bar",6.4,Hallerson,10000,"['Very', 'GoodFrom']",3,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",7.7,Andeman,44203,"['Very', 'GoodFrom']",6,1,1,1,1,1
,,Hallerson,38500,,,2,2,2,2,2
,,Andeman,2000,,,2,2,2,2,2
restaurant,7.2,Machlessvile,9000,"['Very', 'GoodFrom']",12,0,1,0,0,0
"restaurant, internet",7.2,Wanderland,20000,"['Very', 'GoodFrom']",30,0,1,0,0,1
"restaurant, bar, swimming pool, gym, internet",7.6,Hallerson,20000,"['Very', 'GoodFrom']",13,1,1,1,1,1
,,Stokol,12500,,,2,2,2,2,2
"restaurant, bar, internet",8.1,Uberlandia,92000,['ExcellentFrom'],32,1,1,0,0,1
,,Machlessvile,4500,,,2,2,2,2,2
internet,8.1,Uberlandia,21500,['ExcellentFrom'],57,0,0,0,0,1
"restaurant, bar, gym, internet",6.5,Uberlandia,15000,"['Very', 'GoodFrom']",32,1,1,0,1,1
"restaurant, bar, swimming pool, gym",,Willsmian,30000,,,1,1,1,1,0
,,Uberlandia,3500,,,2,2,2,2,2
bar,7.1,Wanderland,8000,"['Very', 'GoodFrom']",3,1,0,0,0,0
"restaurant, bar, internet",8.1,Andeman,92000,['ExcellentFrom'],32,1,1,0,0,1
restaurant,8.2,Stokol,4000,['ExcellentFrom'],7,0,1,0,0,0
"restaurant, bar, swimming pool",8.0,Ubisville,12000,['ExcellentFrom'],6,1,1,1,0,0
,,Machlessvile,4000,,,2,2,2,2,2
,,Uberlandia,4200,,,2,2,2,2,2
"bar, swimming pool, internet",8.8,Wanderland,25000,['ExcellentFrom'],36,1,0,1,0,1
"restaurant, bar, internet",7.7,Andeman,30000,"['Very', 'GoodFrom']",36,1,1,0,0,1
"restaurant, bar, internet",,Hallerson,6000,,,1,1,0,0,1
"restaurant, bar",6.9,Stokol,2500,"['Very', 'GoodFrom']",3,1,1,0,0,0
"restaurant, bar",,Stokol,3000,,,1,1,0,0,0
"bar, internet",8.8,Uberlandia,20000,['ExcellentFrom'],2,1,0,0,0,1
"swimming pool, gym, internet",,Stokol,64600,,,0,0,1,1,1
"restaurant, gym",5.6,Willsmian,15500,['GoodFrom'],1,0,1,0,1,0
"restaurant, bar",8.0,Andeman,5000,['ExcellentFrom'],2,1,1,0,0,0
"restaurant, bar",,Hallerson,3600,,,1,1,0,0,0
"restaurant, bar, internet",8.6,Ubisville,9000,['ExcellentFrom'],2,1,1,0,0,1
"restaurant, bar, gym, internet",,Uberlandia,10000,,,1,1,0,1,1
"restaurant, bar",,Andeman,2000,,,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",6.9,Uberlandia,17000,"['Very', 'GoodFrom']",23,1,1,1,1,1
,,Willsmian,2000,,,2,2,2,2,2
"restaurant, bar",8.0,Uberlandia,10000,['ExcellentFrom'],7,1,1,0,0,0
,8.8,Hallerson,20000,['ExcellentFrom'],1,2,2,2,2,2
bar,7.1,Stokol,8000,"['Very', 'GoodFrom']",3,1,0,0,0,0
"restaurant, bar, internet",,Willsmian,7000,,,1,1,0,0,1
,8.3,Wanderland,35000,['ExcellentFrom'],4,2,2,2,2,2
"restaurant, bar",,Andeman,1700,,,1,1,0,0,0
"restaurant, bar, swimming pool, internet",8.7,Hallerson,35000,['ExcellentFrom'],15,1,1,1,0,1
"restaurant, bar, swimming pool",,Andeman,15000,,,1,1,1,0,0
"restaurant, bar",6.4,Hallerson,6000,"['Very', 'GoodFrom']",5,1,1,0,0,0
restaurant,7.1,Andeman,20000,"['Very', 'GoodFrom']",12,0,1,0,0,0
"restaurant, bar, swimming pool",8.0,Stokol,25000,['ExcellentFrom'],9,1,1,1,0,0
bar,,Wanderland,25000,,,1,0,0,0,0
"restaurant, bar, swimming pool, gym",10.0,Andeman,36000,['ExcellentFrom'],1,1,1,1,1,0
"restaurant, bar, gym, internet",8.4,Machlessvile,25800,['ExcellentFrom'],10,1,1,0,1,1
,6.2,Andeman,3500,"['Very', 'GoodFrom']",2,2,2,2,2,2
"restaurant, bar, swimming pool, gym, internet",5.2,Hallerson,26875,['GoodFrom'],3,1,1,1,1,1
"restaurant, bar, internet",7.4,Ubisville,15000,"['Very', 'GoodFrom']",18,1,1,0,0,1
"restaurant, bar",,Stokol,3600,,,1,1,0,0,0
bar,,Machlessvile,4500,,,1,0,0,0,0
"restaurant, bar, swimming pool",5.2,Wanderland,40326,['GoodFrom'],28,1,1,1,0,0
"restaurant, bar, internet",7.0,Uberlandia,20000,"['Very', 'GoodFrom']",23,1,1,0,0,1
"restaurant, swimming pool, gym, internet",9.1,Machlessvile,25000,['ExcellentFrom'],3,0,1,1,1,1
"restaurant, bar, swimming pool, internet",9.8,Andeman,64800,['ExcellentFrom'],4,1,1,1,0,1
,9.2,Stokol,7800,['ExcellentFrom'],1,2,2,2,2,2
"restaurant, swimming pool",8.8,Stokol,8000,['ExcellentFrom'],1,0,1,1,0,0
"restaurant, bar, internet",8.1,Wanderland,14000,['ExcellentFrom'],31,1,1,0,0,1
"restaurant, bar",7.4,Andeman,15000,"['Very', 'GoodFrom']",5,1,1,0,0,0
"restaurant, bar, internet",7.0,Machlessvile,20000,"['Very', 'GoodFrom']",23,1,1,0,0,1
"restaurant, bar, internet",7.2,Wanderland,56000,"['Very', 'GoodFrom']",2,1,1,0,0,1
"restaurant, bar",From,Willsmian,7500,,1,1,1,0,0,0
restaurant,7.2,Uberlandia,9000,"['Very', 'GoodFrom']",12,0,1,0,0,0
,,Wanderland,2500,,,2,2,2,2,2
"restaurant, bar, swimming pool, gym, internet",8.3,Willsmian,25000,['ExcellentFrom'],6,1,1,1,1,1
"restaurant, bar, swimming pool, gym, internet",7.8,Stokol,30000,"['Very', 'GoodFrom']",14,1,1,1,1,1
"restaurant, bar, internet",5.6,Uberlandia,5000,['GoodFrom'],50,1,1,0,0,1
"restaurant, bar",8.1,Stokol,82400,['ExcellentFrom'],6,1,1,0,0,0
"restaurant, bar, internet",8.1,Stokol,8000,['ExcellentFrom'],3,1,1,0,0,1
restaurant,8.4,Ubisville,15000,['ExcellentFrom'],4,0,1,0,0,0
"restaurant, swimming pool",8.8,Ubisville,8000,['ExcellentFrom'],1,0,1,1,0,0
,,Stokol,2000,,,2,2,2,2,2
"restaurant, bar, swimming pool, internet",8.7,Stokol,35000,['ExcellentFrom'],15,1,1,1,0,1
"restaurant, bar, internet",9.5,Andeman,72500,['ExcellentFrom'],6,1,1,0,0,1
,,Willsmian,3200,,,2,2,2,2,2
"restaurant, bar, swimming pool, gym, internet",7.2,Stokol,69569,"['Very', 'GoodFrom']",4,1,1,1,1,1
restaurant,6.5,Wanderland,5200,"['Very', 'GoodFrom']",2,0,1,0,0,0
"restaurant, bar",6.4,Willsmian,6000,"['Very', 'GoodFrom']",5,1,1,0,0,0
"restaurant, bar, swimming pool, internet",9.8,Stokol,64800,['ExcellentFrom'],4,1,1,1,0,1
"restaurant, bar, swimming pool, gym, internet",6.9,Andeman,10000,"['Very', 'GoodFrom']",7,1,1,1,1,1
bar,7.9,Andeman,25000,"['Very', 'GoodFrom']",12,1,0,0,0,0
"restaurant, bar",8.0,Uberlandia,7000,['ExcellentFrom'],1,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.8,Willsmian,66500,['ExcellentFrom'],8,1,1,1,1,1
"restaurant, bar, swimming pool",7.3,Willsmian,11000,"['Very', 'GoodFrom']",41,1,1,1,0,0
"restaurant, bar, gym, internet",7.5,Andeman,25250,"['Very', 'GoodFrom']",9,1,1,0,1,1
internet,,Machlessvile,25000,,,0,0,0,0,1
"swimming pool, gym, internet",,Willsmian,64600,,,0,0,1,1,1
"restaurant, internet",7.5,Hallerson,10500,"['Very', 'GoodFrom']",4,0,1,0,0,1
restaurant,7.1,Hallerson,20000,"['Very', 'GoodFrom']",12,0,1,0,0,0
"restaurant, bar",8.1,Machlessvile,15500,['ExcellentFrom'],18,1,1,0,0,0
"restaurant, bar, internet",9.5,Stokol,72500,['ExcellentFrom'],6,1,1,0,0,1
bar,,Stokol,6000,,,1,0,0,0,0
"restaurant, bar",6.0,Wanderland,7900,"['Very', 'GoodFrom']",1,1,1,0,0,0
,,Andeman,2500,,,2,2,2,2,2
"bar, swimming pool, gym",8.6,Uberlandia,12800,['ExcellentFrom'],4,1,0,1,1,0
bar,7.1,Andeman,8000,"['Very', 'GoodFrom']",3,1,0,0,0,0
restaurant,4.9,Ubisville,6000,['GoodFrom'],4,0,1,0,0,0
"restaurant, bar, swimming pool, gym",5.7,Uberlandia,30000,['GoodFrom'],37,1,1,1,1,0
"restaurant, bar",,Uberlandia,7452,,,1,1,0,0,0
"bar, internet",7.4,Andeman,13000,"['Very', 'GoodFrom']",40,1,0,0,0,1
"restaurant, swimming pool, internet",8.2,Andeman,16000,['ExcellentFrom'],97,0,1,1,0,1
"restaurant, bar, swimming pool",7.1,Stokol,12500,"['Very', 'GoodFrom']",7,1,1,1,0,0
"restaurant, bar, swimming pool, internet",7.8,Willsmian,49500,"['Very', 'GoodFrom']",28,1,1,1,0,1
"restaurant, bar, swimming pool, internet",7.4,Hallerson,17000,"['Very', 'GoodFrom']",145,1,1,1,0,1
"restaurant, bar",6.7,Stokol,10000,"['Very', 'GoodFrom']",29,1,1,0,0,0
"restaurant, bar, internet",5.6,Stokol,5000,['GoodFrom'],50,1,1,0,0,1
"restaurant, bar, swimming pool",7.4,Wanderland,20090,"['Very', 'GoodFrom']",12,1,1,1,0,0
"restaurant, bar, swimming pool, gym, internet",,Andeman,6500,,,1,1,1,1,1
"restaurant, bar, swimming pool, gym",8.7,Hallerson,33000,['ExcellentFrom'],5,1,1,1,1,0
"restaurant, swimming pool",,Stokol,10000,,,0,1,1,0,0
"restaurant, bar, internet",8.1,Stokol,8000,['ExcellentFrom'],3,1,1,0,0,1
"restaurant, bar",From,Machlessvile,7500,,1,1,1,0,0,0
"restaurant, bar",8.8,Stokol,8000,['ExcellentFrom'],1,1,1,0,0,0
"restaurant, bar, internet",7.7,Willsmian,9800,"['Very', 'GoodFrom']",125,1,1,0,0,1
"restaurant, bar, internet",10.0,Stokol,20000,['ExcellentFrom'],1,1,1,0,0,1
"restaurant, bar, internet",7.4,Andeman,10000,"['Very', 'GoodFrom']",26,1,1,0,0,1
"restaurant, bar, swimming pool, gym",8.5,Hallerson,12000,['ExcellentFrom'],6,1,1,1,1,0
"restaurant, bar, internet",6.3,Hallerson,22000,"['Very', 'GoodFrom']",30,1,1,0,0,1
"restaurant, bar, internet",7.9,Uberlandia,59000,"['Very', 'GoodFrom']",10,1,1,0,0,1
,8.2,Stokol,6500,['ExcellentFrom'],7,2,2,2,2,2
"restaurant, bar, internet",7.0,Hallerson,20000,"['Very', 'GoodFrom']",23,1,1,0,0,1
"restaurant, bar",6.4,Andeman,5500,"['Very', 'GoodFrom']",34,1,1,0,0,0
"restaurant, bar, swimming pool, internet",8.7,Machlessvile,35000,['ExcellentFrom'],15,1,1,1,0,1
"restaurant, bar, swimming pool, internet",7.8,Ubisville,25000,"['Very', 'GoodFrom']",5,1,1,1,0,1
"swimming pool, gym, internet",,Andeman,64600,,,0,0,1,1,1
"restaurant, bar",9.4,Wanderland,20000,['ExcellentFrom'],3,1,1,0,0,0
restaurant,6.1,Machlessvile,5000,"['Very', 'GoodFrom']",24,0,1,0,0,0
bar,7.9,Wanderland,15000,"['Very', 'GoodFrom']",3,1,0,0,0,0
"restaurant, bar, swimming pool, internet",7.5,Machlessvile,67000,"['Very', 'GoodFrom']",35,1,1,1,0,1
"restaurant, bar, swimming pool, internet",From,Willsmian,15000,,1,1,1,1,0,1
"restaurant, bar",8.0,Uberlandia,11500,['ExcellentFrom'],6,1,1,0,0,0
"restaurant, bar, internet",8.1,Wanderland,92000,['ExcellentFrom'],32,1,1,0,0,1
"restaurant, bar, internet",6.6,Hallerson,7000,"['Very', 'GoodFrom']",4,1,1,0,0,1
"bar, swimming pool, gym, internet",6.9,Uberlandia,20000,"['Very', 'GoodFrom']",12,1,0,1,1,1
"restaurant, bar, gym, internet",7.2,Andeman,30000,"['Very', 'GoodFrom']",44,1,1,0,1,1
"restaurant, bar, internet",6.9,Ubisville,13975,"['Very', 'GoodFrom']",33,1,1,0,0,1
"restaurant, bar",5.6,Andeman,3000,['GoodFrom'],1,1,1,0,0,0
"restaurant, bar, swimming pool, gym",10.0,Machlessvile,36000,['ExcellentFrom'],1,1,1,1,1,0
"restaurant, bar",7.4,Stokol,15000,"['Very', 'GoodFrom']",4,1,1,0,0,0
internet,7.7,Andeman,5000,"['Very', 'GoodFrom']",10,0,0,0,0,1
"restaurant, internet",4.9,Hallerson,19720,['GoodFrom'],30,0,1,0,0,1
"restaurant, bar, internet",8.5,Andeman,28500,['ExcellentFrom'],3,1,1,0,0,1
"restaurant, bar, internet",7.9,Stokol,59000,"['Very', 'GoodFrom']",10,1,1,0,0,1
"restaurant, bar, swimming pool, gym",6.0,Uberlandia,35000,"['Very', 'GoodFrom']",9,1,1,1,1,0
"restaurant, bar",9.4,Machlessvile,20000,['ExcellentFrom'],3,1,1,0,0,0
"restaurant, bar",4.9,Andeman,9000,['GoodFrom'],3,1,1,0,0,0
"restaurant, internet",4.9,Uberlandia,19720,['GoodFrom'],30,0,1,0,0,1
"restaurant, swimming pool, internet",9.1,Andeman,37200,['ExcellentFrom'],12,0,1,1,0,1
"restaurant, bar, gym",5.7,Andeman,7350,['GoodFrom'],6,1,1,0,1,0
"restaurant, bar",,Stokol,5000,,,1,1,0,0,0
"restaurant, bar",6.4,Uberlandia,10000,"['Very', 'GoodFrom']",3,1,1,0,0,0
,,Hallerson,4025,,,2,2,2,2,2
bar,7.6,Ubisville,5000,"['Very', 'GoodFrom']",1,1,0,0,0,0
"restaurant, bar, internet",7.4,Hallerson,10000,"['Very', 'GoodFrom']",26,1,1,0,0,1
"restaurant, bar, swimming pool, gym, internet",7.6,Hallerson,30000,"['Very', 'GoodFrom']",6,1,1,1,1,1
"restaurant, bar, internet",,Stokol,5000,,,1,1,0,0,1
"restaurant, bar, internet",5.6,Wanderland,5000,['GoodFrom'],50,1,1,0,0,1
"restaurant, bar, internet",5.6,Andeman,5000,['GoodFrom'],50,1,1,0,0,1
"restaurant, bar, swimming pool, gym, internet",7.7,Andeman,23000,"['Very', 'GoodFrom']",46,1,1,1,1,1
"bar, internet",8.8,Ubisville,20000,['ExcellentFrom'],2,1,0,0,0,1
"bar, internet",7.2,Ubisville,15000,"['Very', 'GoodFrom']",25,1,0,0,0,1
"restaurant, bar, swimming pool, gym, internet",6.7,Willsmian,55537,"['Very', 'GoodFrom']",32,1,1,1,1,1
"restaurant, bar",8.5,Machlessvile,10000,['ExcellentFrom'],4,1,1,0,0,0
,3.6,Uberlandia,2200,['FairFrom'],1,2,2,2,2,2
"restaurant, bar",7.8,Ubisville,11000,"['Very', 'GoodFrom']",2,1,1,0,0,0
"restaurant, bar, swimming pool, internet",8.0,Willsmian,25000,['ExcellentFrom'],25,1,1,1,0,1
"bar, swimming pool, gym, internet",6.4,Uberlandia,14000,"['Very', 'GoodFrom']",40,1,0,1,1,1
"restaurant, bar, internet",7.8,Hallerson,9000,"['Very', 'GoodFrom']",12,1,1,0,0,1
"restaurant, bar, swimming pool, internet",,Stokol,19550,,,1,1,1,0,1
,6.3,Machlessvile,35000,"['Very', 'GoodFrom']",46,2,2,2,2,2
"restaurant, bar, gym, internet",,Hallerson,10000,,,1,1,0,1,1
bar,,Stokol,5000,,,1,0,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.9,Wanderland,35000,['ExcellentFrom'],19,1,1,1,1,1
"restaurant, bar",6.7,Ubisville,18000,"['Very', 'GoodFrom']",50,1,1,0,0,0
restaurant,7.1,Andeman,20000,"['Very', 'GoodFrom']",68,0,1,0,0,0
"restaurant, gym",5.6,Uberlandia,15500,['GoodFrom'],1,0,1,0,1,0
"restaurant, bar, swimming pool",7.9,Willsmian,9000,"['Very', 'GoodFrom']",6,1,1,1,0,0
,8.4,Willsmian,48200,['ExcellentFrom'],1,2,2,2,2,2
"restaurant, gym",,Hallerson,36000,,,0,1,0,1,0
"restaurant, bar, internet",6.8,Hallerson,17500,"['Very', 'GoodFrom']",94,1,1,0,0,1
"restaurant, bar, internet",7.7,Stokol,30000,"['Very', 'GoodFrom']",36,1,1,0,0,1
"restaurant, bar, internet",6.2,Willsmian,7500,"['Very', 'GoodFrom']",7,1,1,0,0,1
